year,name,model,transmission,km,ownership,fuel,registeration,price
2015,Maruti,Maruti Celerio VXI AMT,Automatic,7816,1st,Petrol,GJ,405199
2021,Hyundai,Hyundai Creta EX MT,Manual,3002,2nd,Petrol,GJ,1204199
2017,Datsun,Datsun Redi Go T (O),Manual,99957,1st,Petrol,GJ,223099
2017,Hyundai,Hyundai Elite i20 Magna Executive 1.2,Manual,43773,2nd,Petrol,GJ,515799
2014,Toyota,Toyota Innova 2.5 GX 8 STR BS IV,Manual,41158,2nd,Diesel,GJ,711199
2021,Maruti,Maruti Baleno ZETA 1.2 K12 CVT,Automatic,3735,1st,Petrol,GJ,889699
2019,Hyundai,Hyundai Creta 1.4 E PLUS CRDI,Manual,65144,1st,Diesel,GJ,942799
2015,Maruti,Maruti Swift VXI,Manual,43828,1st,Petrol,RJ,428999
2021,Mahindra,Mahindra Thar LX PETROL AT 4WD,Automatic,1302,1st,Petrol,GJ,1560999
2020,KIA,KIA SELTOS HTX 1.5 PETROL MT,Manual,10753,2nd,Petrol,GJ,1278499
2015,Hyundai,Hyundai i10 SPORTZ 1.1 IRDE2,Manual,17290,2nd,Petrol,GJ,394999
2022,Maruti,Maruti Celerio VXI CNG,Manual,11821,1st,Petrol + CNG,GJ,678199
2017,Volkswagen,Volkswagen Polo HIGHLINE1.2L PETROL,Manual,91032,1st,Petrol,GJ,517599
2014,Volkswagen,Volkswagen Polo GT TSI 1.2 PETROL AT,Automatic,90040,1st,Petrol,GJ,551099
2019,Renault,Renault Kwid RXL,Manual,21520,1st,Petrol,RJ,347699
2022,Renault,Renault Kwid 1.0 CLIMBER OPT,Manual,1778,1st,Petrol,GJ,547999
2011,Hyundai,Hyundai i10 ERA 1.1 IRDE,Manual,73166,3rd,Petrol + CNG,GJ,293399
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,21734,1st,Petrol,UP,565099
2021,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,3720,1st,Petrol,GJ,567299
2020,KIA,KIA SELTOS HTK PLUS 1.5 DIESEL,Manual,21842,1st,Diesel,GJ,1341499
2012,Hyundai,Hyundai i20 SPORTZ 1.2 VTVT,Manual,72011,1st,Petrol,GJ,421599
2020,KIA,KIA SELTOS HTK PLUS 1.5 DIESEL,Manual,53390,1st,Diesel,GJ,1294399
2016,Renault,Renault Duster RXL PETROL 104,Manual,55728,1st,Petrol,GJ,519899
2013,Volkswagen,Volkswagen Vento HIGHLINE PETROL,Manual,97393,1st,Petrol,GJ,435099
2018,Renault,Renault Kwid 1.0 RXT Opt,Manual,19165,1st,Petrol,GJ,381799
2021,Datsun,Datsun Redi Go T (O),Manual,2631,1st,Petrol,GJ,425999
2021,Hyundai,Hyundai AURA SX+ AT 1.2CRDI,Automatic,30436,1st,Diesel,GJ,877699
2021,Maruti,Maruti Celerio ZXI,Manual,6323,1st,Petrol,GJ,581849
2020,Hyundai,Hyundai AURA SX+ AT 1.2CRDI,Automatic,32917,1st,Diesel,GJ,973799
2021,Mahindra,Mahindra XUV500 W11 AT,Automatic,13545,1st,Diesel,GJ,1979999
2013,Hyundai,Hyundai i10 MAGNA 1.2 KAPPA2,Manual,64508,1st,Petrol,GJ,277099
2019,Renault,Renault Kwid RXL,Manual,12345,1st,Petrol,GJ,401199
2021,Mahindra,Mahindra Thar LX PETROL AT 4WD,Automatic,3919,1st,Petrol,GJ,1546999
2022,Hyundai,Hyundai VENUE S MT 1.2 KAPPA,Manual,3456,1st,Petrol,GJ,939299
2017,Maruti,Maruti Alto 800 VXI,Manual,15751,2nd,Petrol,GJ,303399
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,20760,1st,Petrol,GJ,513299
2014,Maruti,Maruti Swift VXI,Manual,57155,1st,Petrol,GJ,446699
2020,Ford,Ford Ecosport 1.5TITANIUM TDCI,Manual,19669,2nd,Diesel,GJ,937899
2018,Maruti,Maruti Celerio ZXI,Manual,17099,1st,Petrol,GJ,500299
2021,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,2579,1st,Petrol,GJ,705499
2016,Hyundai,Hyundai Elite i20 MAGNA 1.2,Manual,51323,1st,Petrol,MH,530099
2017,Maruti,Maruti Dzire VXI,Manual,8673,2nd,Petrol,GJ,643899
2015,Ford,Ford Ecosport 1.0 ECOBOOST TITANIUM,Manual,23014,1st,Petrol,GJ,542199
2022,Maruti,Maruti S PRESSO VXI PLUS,Manual,1345,1st,Petrol,GJ,598699
2021,MG,MG HECTOR SHARP 2.0 DIESEL,Manual,8358,1st,Diesel,GJ,1850799
2019,Jeep,Jeep Compass SPORT PLUS PETROL,Manual,10639,1st,Petrol,GJ,1282599
2013,Maruti,Maruti Swift VXI,Manual,57228,1st,Petrol,GJ,421199
2019,Hyundai,Hyundai NEW SANTRO 1.1 SPORTS AMT,Automatic,17094,1st,Petrol,GJ,553399
2015,Honda,Honda Brio 1.2 S MT I VTEC,Manual,44135,1st,Petrol,GJ,376999
2015,Maruti,Maruti Swift VXI,Manual,71268,1st,Petrol,GJ,447199
2021,Hyundai,Hyundai VENUE S Plus MT 1.2 Kappa,Manual,9844,1st,Petrol,GJ,909499
