year,name,model,transmission,km,ownership,fuel,registeration,emi,payment,price
2015,Maruti Celerio,VXI AMT,Automatic,"7,816",1st ,Petrol,GJ,"7,922",Zero Down Payment,"4,05,199"
2021,Hyundai Creta,EX MT,Manual,"3,002",2nd ,Petrol,GJ,"22,614",Zero Down Payment,"12,04,199"
2017,Datsun Redi Go,T (O),Manual,"99,957",1st ,Petrol,GJ,"4,362",Zero Down Payment,"2,23,099"
2017,Hyundai Elite i20,Magna Executive 1.2,Manual,"43,773",2nd ,Petrol,GJ,"10,084",Zero Down Payment,"5,15,799"
2014,Toyota Innova,2.5 GX 8 STR BS IV,Manual,"41,158",2nd ,Diesel,GJ,"13,904",Zero Down Payment,"7,11,199"
2021,Maruti Baleno,ZETA 1.2 K12 CVT,Automatic,"3,735",1st ,Petrol,GJ,"16,708",Zero Down Payment,"8,89,699"
2019,Hyundai Creta,1.4 E PLUS CRDI,Manual,"65,144",1st ,Diesel,GJ,"17,705",Zero Down Payment,"9,42,799"
2015,Maruti Swift,VXI,Manual,"43,828",1st ,Petrol,RJ,"8,387",Zero Down Payment,"4,28,999"
2021,Mahindra Thar,LX PETROL AT 4WD,Automatic,"1,302",1st ,Petrol,GJ,"29,314",Zero Down Payment,"15,60,999"
2020,KIA SELTOS,HTX 1.5 PETROL MT,Manual,"10,753",2nd ,Petrol,GJ,"24,009",Zero Down Payment,"12,78,499"
2015,Hyundai i10,SPORTZ 1.1 IRDE2,Manual,"17,290",2nd ,Petrol,GJ,"7,722",Zero Down Payment,"3,94,999"
2022,Maruti Celerio,VXI CNG,Manual,"11,821",1st ,Petrol + CNG,GJ,"13,259",Zero Down Payment,"6,78,199"
2017,Volkswagen Polo,HIGHLINE1.2L PETROL,Manual,"91,032",1st ,Petrol,GJ,"10,119",Zero Down Payment,"5,17,599"
2014,Volkswagen Polo,GT TSI 1.2 PETROL AT,Automatic,"90,040",1st ,Petrol,GJ,"10,774",Zero Down Payment,"5,51,099"
2019,Renault Kwid,RXL,Manual,"21,520",1st ,Petrol,RJ,"6,798",Zero Down Payment,"3,47,699"
2022,Renault Kwid,1.0 CLIMBER OPT,Manual,"1,778",1st ,Petrol,GJ,"10,713",Zero Down Payment,"5,47,999"
